ip.src,ip.dst,_ws.col.Protocol,_ws.col.Port
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,70.32.77.194,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,HTTP,
192.168.122.31,217.172.170.4,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,HTTP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,HTTP,
192.168.122.31,217.172.170.4,HTTP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,HTTP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,HTTP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,HTTP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,217.172.170.4,TCP,
217.172.170.4,192.168.122.31,HTTP,
192.168.122.31,217.172.170.4,TCP,
192.168.122.31,70.32.77.194,HTTP,
192.168.122.31,217.172.170.4,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,HTTP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,HTTP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
70.32.77.194,192.168.122.31,TCP,
70.32.77.194,192.168.122.31,TCP,
192.168.122.31,70.32.77.194,TCP,
192.168.122.31,70.32.77.194,TCP,
